QualifiedName,ModifiedName,CBO,DIT,WMC,LOC,LCOM
org.apache.fontbox.EncodedFont,org/apache/fontbox/EncodedFont.java-2.0.26,1,1,1,2,0
org.apache.fontbox.FontBoxFont,org/apache/fontbox/FontBoxFont.java-2.0.26,1,1,6,7,0
org.apache.fontbox.afm.AFMParser,org/apache/fontbox/afm/AFMParser.java-2.0.26,8,0,92,420,0
org.apache.fontbox.afm.CharMetric,org/apache/fontbox/afm/CharMetric.java-2.0.26,2,0,25,73,0.957
org.apache.fontbox.afm.Composite,org/apache/fontbox/afm/Composite.java-2.0.26,1,0,1,13,0
org.apache.fontbox.afm.CompositePart,org/apache/fontbox/afm/CompositePart.java-2.0.26,0,0,4,16,0.667
org.apache.fontbox.afm.FontMetrics,org/apache/fontbox/afm/FontMetrics.java-2.0.26,5,0,53,222,0.974
org.apache.fontbox.afm.KernPair,org/apache/fontbox/afm/KernPair.java-2.0.26,0,0,4,21,0.667
org.apache.fontbox.afm.Ligature,org/apache/fontbox/afm/Ligature.java-2.0.26,0,0,0,11,0
org.apache.fontbox.afm.TrackKern,org/apache/fontbox/afm/TrackKern.java-2.0.26,0,0,10,26,0.889
org.apache.fontbox.cff.CFFCIDFont,org/apache/fontbox/cff/CFFCIDFont.java-2.0.26,4,1,15,89,0.762
org.apache.fontbox.cff.CFFCharset,org/apache/fontbox/cff/CFFCharset.java-2.0.26,0,0,16,62,0
org.apache.fontbox.cff.CFFDataInput,org/apache/fontbox/cff/CFFDataInput.java-2.0.26,0,1,9,19,0
org.apache.fontbox.cff.CFFEncoding,org/apache/fontbox/cff/CFFEncoding.java-2.0.26,0,1,2,6,0
org.apache.fontbox.cff.CFFExpertCharset,org/apache/fontbox/cff/CFFExpertCharset.java-2.0.26,0,1,2,180,0
org.apache.fontbox.cff.CFFExpertEncoding,org/apache/fontbox/cff/CFFExpertEncoding.java-2.0.26,0,2,2,268,0
org.apache.fontbox.cff.CFFExpertSubsetCharset,org/apache/fontbox/cff/CFFExpertSubsetCharset.java-2.0.26,0,1,2,101,0
org.apache.fontbox.cff.CFFFont,org/apache/fontbox/cff/CFFFont.java-2.0.26,4,0,8,45,0.9
org.apache.fontbox.cff.CFFISOAdobeCharset,org/apache/fontbox/cff/CFFISOAdobeCharset.java-2.0.26,0,1,2,243,0
org.apache.fontbox.cff.CFFOperator,org/apache/fontbox/cff/CFFOperator.java-2.0.26,0,0,4,113,0
org.apache.fontbox.cff.CFFParser,org/apache/fontbox/cff/CFFParser.java-2.0.26,14,0,86,808,0
org.apache.fontbox.cff.CFFStandardEncoding,org/apache/fontbox/cff/CFFStandardEncoding.java-2.0.26,0,2,2,268,0
org.apache.fontbox.cff.CFFStandardString,org/apache/fontbox/cff/CFFStandardString.java-2.0.26,0,0,1,397,0
org.apache.fontbox.cff.CFFType1Font,org/apache/fontbox/cff/CFFType1Font.java-2.0.26,2,1,8,75,1
org.apache.fontbox.cff.CIDKeyedType2CharString,org/apache/fontbox/cff/CIDKeyedType2CharString.java-2.0.26,0,2,1,7,0
org.apache.fontbox.cff.CharStringCommand,org/apache/fontbox/cff/CharStringCommand.java-2.0.26,0,0,6,142,0
org.apache.fontbox.cff.CharStringHandler,org/apache/fontbox/cff/CharStringHandler.java-2.0.26,0,0,0,13,0
org.apache.fontbox.cff.DataInput,org/apache/fontbox/cff/DataInput.java-2.0.26,0,0,23,69,0.25
org.apache.fontbox.cff.DataOutput,org/apache/fontbox/cff/DataOutput.java-2.0.26,0,0,6,22,0
org.apache.fontbox.cff.FDSelect,org/apache/fontbox/cff/FDSelect.java-2.0.26,1,0,2,5,0
org.apache.fontbox.cff.Type1CharString,org/apache/fontbox/cff/Type1CharString.java-2.0.26,3,0,9,220,0.867
org.apache.fontbox.cff.Type1CharStringParser,org/apache/fontbox/cff/Type1CharStringParser.java-2.0.26,3,0,2,103,0
org.apache.fontbox.cff.Type1FontUtil,org/apache/fontbox/cff/Type1FontUtil.java-2.0.26,0,0,9,49,0
org.apache.fontbox.cff.Type2CharString,org/apache/fontbox/cff/Type2CharString.java-2.0.26,1,1,7,198,1.125
org.apache.fontbox.cff.Type2CharStringParser,org/apache/fontbox/cff/Type2CharStringParser.java-2.0.26,2,0,13,117,0
org.apache.fontbox.cmap.CIDRange,org/apache/fontbox/cmap/CIDRange.java-2.0.26,0,0,10,21,0
org.apache.fontbox.cmap.CMap,org/apache/fontbox/cmap/CMap.java-2.0.26,3,0,26,127,0.959
org.apache.fontbox.cmap.CMapParser,org/apache/fontbox/cmap/CMapParser.java-2.0.26,1,0,24,387,1
org.apache.fontbox.cmap.CodespaceRange,org/apache/fontbox/cmap/CodespaceRange.java-2.0.26,0,0,20,47,0.7
org.apache.fontbox.encoding.BuiltInEncoding,org/apache/fontbox/encoding/BuiltInEncoding.java-2.0.26,0,1,0,4,0
org.apache.fontbox.encoding.Encoding,org/apache/fontbox/encoding/Encoding.java-2.0.26,0,0,0,15,0
org.apache.fontbox.encoding.MacRomanEncoding,org/apache/fontbox/encoding/MacRomanEncoding.java-2.0.26,0,1,2,216,0
org.apache.fontbox.encoding.StandardEncoding,org/apache/fontbox/encoding/StandardEncoding.java-2.0.26,0,1,2,158,0
org.apache.fontbox.pfb.PfbParser,org/apache/fontbox/pfb/PfbParser.java-2.0.26,0,0,15,72,0.9
org.apache.fontbox.ttf.BufferedRandomAccessFile,org/apache/fontbox/ttf/BufferedRandomAccessFile.java-2.0.26,0,0,16,63,0.25
org.apache.fontbox.ttf.CFFTable,org/apache/fontbox/ttf/CFFTable.java-2.0.26,4,1,3,20,0
org.apache.fontbox.ttf.CmapLookup,org/apache/fontbox/ttf/CmapLookup.java-2.0.26,0,1,2,3,0
org.apache.fontbox.ttf.CmapSubtable,org/apache/fontbox/ttf/CmapSubtable.java-2.0.26,3,0,100,334,0.837
org.apache.fontbox.ttf.CmapTable,org/apache/fontbox/ttf/CmapTable.java-2.0.26,3,1,10,45,1.255
org.apache.fontbox.ttf.DigitalSignatureTable,org/apache/fontbox/ttf/DigitalSignatureTable.java-2.0.26,1,1,1,4,0
org.apache.fontbox.ttf.GlyfCompositeComp,org/apache/fontbox/ttf/GlyfCompositeComp.java-2.0.26,1,0,22,88,0.967
org.apache.fontbox.ttf.GlyfCompositeDescript,org/apache/fontbox/ttf/GlyfCompositeDescript.java-2.0.26,6,1,40,126,0.75
org.apache.fontbox.ttf.GlyfDescript,org/apache/fontbox/ttf/GlyfDescript.java-2.0.26,1,0,5,20,1.167
org.apache.fontbox.ttf.GlyfSimpleDescript,org/apache/fontbox/ttf/GlyfSimpleDescript.java-2.0.26,2,1,25,80,0.792
org.apache.fontbox.ttf.GlyphData,org/apache/fontbox/ttf/GlyphData.java-2.0.26,7,0,12,43,0.843
org.apache.fontbox.ttf.GlyphDescription,org/apache/fontbox/ttf/GlyphDescription.java-2.0.26,0,1,8,9,0
org.apache.fontbox.ttf.GlyphRenderer,org/apache/fontbox/ttf/GlyphRenderer.java-2.0.26,3,0,7,86,0
org.apache.fontbox.ttf.GlyphSubstitutionTable,org/apache/fontbox/ttf/GlyphSubstitutionTable.java-2.0.26,3,1,47,387,0.667
org.apache.fontbox.ttf.GlyphTable,org/apache/fontbox/ttf/GlyphTable.java-2.0.26,6,1,24,70,0.607
org.apache.fontbox.ttf.HeaderTable,org/apache/fontbox/ttf/HeaderTable.java-2.0.26,2,1,32,110,0.945
org.apache.fontbox.ttf.HorizontalHeaderTable,org/apache/fontbox/ttf/HorizontalHeaderTable.java-2.0.26,2,1,36,109,0.941
org.apache.fontbox.ttf.HorizontalMetricsTable,org/apache/fontbox/ttf/HorizontalMetricsTable.java-2.0.26,3,1,14,45,0.375
org.apache.fontbox.ttf.IndexToLocationTable,org/apache/fontbox/ttf/IndexToLocationTable.java-2.0.26,3,1,8,25,0.667
org.apache.fontbox.ttf.KerningSubtable,org/apache/fontbox/ttf/KerningSubtable.java-2.0.26,2,0,29,137,0.885
org.apache.fontbox.ttf.KerningTable,org/apache/fontbox/ttf/KerningTable.java-2.0.26,4,1,12,33,0.5
org.apache.fontbox.ttf.MaximumProfileTable,org/apache/fontbox/ttf/MaximumProfileTable.java-2.0.26,2,1,32,97,0.933
org.apache.fontbox.ttf.MemoryTTFDataStream,org/apache/fontbox/ttf/MemoryTTFDataStream.java-2.0.26,0,1,17,73,0.375
org.apache.fontbox.ttf.NameRecord,org/apache/fontbox/ttf/NameRecord.java-2.0.26,2,0,13,79,1.036
org.apache.fontbox.ttf.NamingTable,org/apache/fontbox/ttf/NamingTable.java-2.0.26,4,1,19,114,0
org.apache.fontbox.ttf.OS2WindowsMetricsTable,org/apache/fontbox/ttf/OS2WindowsMetricsTable.java-2.0.26,3,1,74,273,0.993
org.apache.fontbox.ttf.OTFParser,org/apache/fontbox/ttf/OTFParser.java-2.0.26,2,1,6,34,0
org.apache.fontbox.ttf.OTLTable,org/apache/fontbox/ttf/OTLTable.java-2.0.26,1,1,1,3,0
org.apache.fontbox.ttf.OpenTypeFont,org/apache/fontbox/ttf/OpenTypeFont.java-2.0.26,3,1,8,29,0
org.apache.fontbox.ttf.OpenTypeScript,org/apache/fontbox/ttf/OpenTypeScript.java-2.0.26,1,0,4,231,0
org.apache.fontbox.ttf.PostScriptTable,org/apache/fontbox/ttf/PostScriptTable.java-2.0.26,4,1,40,122,0.9
org.apache.fontbox.ttf.RAFDataStream,org/apache/fontbox/ttf/RAFDataStream.java-2.0.26,0,1,10,41,0
org.apache.fontbox.ttf.SubstitutingCmapLookup,org/apache/fontbox/ttf/SubstitutingCmapLookup.java-2.0.26,2,0,1,17,0
org.apache.fontbox.ttf.TTCDataStream,org/apache/fontbox/ttf/TTCDataStream.java-2.0.26,0,1,10,33,0
org.apache.fontbox.ttf.TTFDataStream,org/apache/fontbox/ttf/TTFDataStream.java-2.0.26,0,0,24,71,0
org.apache.fontbox.ttf.TTFParser,org/apache/fontbox/ttf/TTFParser.java-2.0.26,21,0,46,128,0.667
org.apache.fontbox.ttf.TTFSubsetter,org/apache/fontbox/ttf/TTFSubsetter.java-2.0.26,15,0,94,561,0.84
org.apache.fontbox.ttf.TTFTable,org/apache/fontbox/ttf/TTFTable.java-2.0.26,2,0,9,28,0.914
org.apache.fontbox.ttf.TrueTypeCollection,org/apache/fontbox/ttf/TrueTypeCollection.java-2.0.26,5,0,11,48,0.556
org.apache.fontbox.ttf.TrueTypeFont,org/apache/fontbox/ttf/TrueTypeFont.java-2.0.26,21,0,57,237,0.844
org.apache.fontbox.ttf.VerticalHeaderTable,org/apache/fontbox/ttf/VerticalHeaderTable.java-2.0.26,2,1,19,75,0.941
org.apache.fontbox.ttf.VerticalMetricsTable,org/apache/fontbox/ttf/VerticalMetricsTable.java-2.0.26,3,1,12,42,0.375
org.apache.fontbox.ttf.VerticalOriginTable,org/apache/fontbox/ttf/VerticalOriginTable.java-2.0.26,2,1,6,25,0.5
org.apache.fontbox.ttf.WGL4Names,org/apache/fontbox/ttf/WGL4Names.java-2.0.26,0,0,1,52,0
org.apache.fontbox.type1.DamagedFontException,org/apache/fontbox/type1/DamagedFontException.java-2.0.26,0,0,0,3,0
org.apache.fontbox.type1.Token,org/apache/fontbox/type1/Token.java-2.0.26,0,0,7,49,1.214
org.apache.fontbox.type1.Type1CharStringReader,org/apache/fontbox/type1/Type1CharStringReader.java-2.0.26,0,1,1,2,0
org.apache.fontbox.type1.Type1Font,org/apache/fontbox/type1/Type1Font.java-2.0.26,4,0,20,153,0.992
org.apache.fontbox.type1.Type1Lexer,org/apache/fontbox/type1/Type1Lexer.java-2.0.26,4,0,71,223,0.8
org.apache.fontbox.type1.Type1Parser,org/apache/fontbox/type1/Type1Parser.java-2.0.26,6,0,96,447,0.656
org.apache.fontbox.util.BoundingBox,org/apache/fontbox/util/BoundingBox.java-2.0.26,0,0,13,43,0.667
org.apache.fontbox.util.Charsets,org/apache/fontbox/util/Charsets.java-2.0.26,0,0,1,7,0
org.apache.fontbox.util.autodetect.FontDirFinder,org/apache/fontbox/util/autodetect/FontDirFinder.java-2.0.26,0,1,1,2,0
org.apache.fontbox.util.autodetect.FontFileFinder,org/apache/fontbox/util/autodetect/FontFileFinder.java-2.0.26,6,0,5,50,0
org.apache.fontbox.util.autodetect.MacFontDirFinder,org/apache/fontbox/util/autodetect/MacFontDirFinder.java-2.0.26,0,1,0,8,0
org.apache.fontbox.util.autodetect.NativeFontDirFinder,org/apache/fontbox/util/autodetect/NativeFontDirFinder.java-2.0.26,0,0,0,14,0
org.apache.fontbox.util.autodetect.OS400FontDirFinder,org/apache/fontbox/util/autodetect/OS400FontDirFinder.java-2.0.26,0,1,0,6,0
org.apache.fontbox.util.autodetect.UnixFontDirFinder,org/apache/fontbox/util/autodetect/UnixFontDirFinder.java-2.0.26,0,1,0,10,0
org.apache.fontbox.util.autodetect.WindowsFontDirFinder,org/apache/fontbox/util/autodetect/WindowsFontDirFinder.java-2.0.26,0,0,0,63,0
org.apache.pdfbox.contentstream.PDContentStream,org/apache/pdfbox/contentstream/PDContentStream.java-2.0.26,3,1,4,5,0
