QualifiedName,ModifiedName,CBO,DIT,WMC,LCOM,LOC
org.apache.fontbox.EncodedFont,org/apache/fontbox/EncodedFont.java-2.0.31,1,1,1,0,2
org.apache.fontbox.FontBoxFont,org/apache/fontbox/FontBoxFont.java-2.0.31,1,1,6,0,7
org.apache.fontbox.afm.AFMParser,org/apache/fontbox/afm/AFMParser.java-2.0.31,8,0,96,0,2
org.apache.fontbox.afm.CharMetric,org/apache/fontbox/afm/CharMetric.java-2.0.31,2,0,25,0.957,4
org.apache.fontbox.afm.Composite,org/apache/fontbox/afm/Composite.java-2.0.31,1,0,1,0,11
org.apache.fontbox.afm.CompositePart,org/apache/fontbox/afm/CompositePart.java-2.0.31,0,0,4,0.667,19
org.apache.fontbox.afm.FontMetrics,org/apache/fontbox/afm/FontMetrics.java-2.0.31,5,0,53,0.974,19
org.apache.fontbox.afm.KernPair,org/apache/fontbox/afm/KernPair.java-2.0.31,0,0,4,0.667,22
org.apache.fontbox.afm.Ligature,org/apache/fontbox/afm/Ligature.java-2.0.31,0,0,0,0,22
org.apache.fontbox.afm.TrackKern,org/apache/fontbox/afm/TrackKern.java-2.0.31,0,0,10,0.889,26
org.apache.fontbox.cff.CFFCIDFont,org/apache/fontbox/cff/CFFCIDFont.java-2.0.31,4,1,18,0.762,37
org.apache.fontbox.cff.CFFCharset,org/apache/fontbox/cff/CFFCharset.java-2.0.31,0,0,16,0,7
org.apache.fontbox.cff.CFFDataInput,org/apache/fontbox/cff/CFFDataInput.java-2.0.31,0,1,9,0,13
org.apache.fontbox.cff.CFFEncoding,org/apache/fontbox/cff/CFFEncoding.java-2.0.31,0,1,2,0,17
org.apache.fontbox.cff.CFFExpertCharset,org/apache/fontbox/cff/CFFExpertCharset.java-2.0.31,0,1,2,0,49
org.apache.fontbox.cff.CFFExpertEncoding,org/apache/fontbox/cff/CFFExpertEncoding.java-2.0.31,0,2,2,0,49
org.apache.fontbox.cff.CFFExpertSubsetCharset,org/apache/fontbox/cff/CFFExpertSubsetCharset.java-2.0.31,0,1,2,0,50
org.apache.fontbox.cff.CFFFont,org/apache/fontbox/cff/CFFFont.java-2.0.31,4,0,8,0.9,7
org.apache.fontbox.cff.CFFISOAdobeCharset,org/apache/fontbox/cff/CFFISOAdobeCharset.java-2.0.31,0,1,2,0,43
org.apache.fontbox.cff.CFFOperator,org/apache/fontbox/cff/CFFOperator.java-2.0.31,0,0,4,0,59
org.apache.fontbox.cff.CFFParser,org/apache/fontbox/cff/CFFParser.java-2.0.31,14,0,86,0,7
org.apache.fontbox.cff.CFFStandardEncoding,org/apache/fontbox/cff/CFFStandardEncoding.java-2.0.31,0,2,2,0,11
org.apache.fontbox.cff.CFFStandardString,org/apache/fontbox/cff/CFFStandardString.java-2.0.31,0,0,1,0,14
org.apache.fontbox.cff.CFFType1Font,org/apache/fontbox/cff/CFFType1Font.java-2.0.31,2,1,8,1,27
org.apache.fontbox.cff.CIDKeyedType2CharString,org/apache/fontbox/cff/CIDKeyedType2CharString.java-2.0.31,0,2,1,0,61
org.apache.fontbox.cff.CharStringCommand,org/apache/fontbox/cff/CharStringCommand.java-2.0.31,0,0,6,0,17
org.apache.fontbox.cff.CharStringHandler,org/apache/fontbox/cff/CharStringHandler.java-2.0.31,0,0,0,0,44
org.apache.fontbox.cff.DataInput,org/apache/fontbox/cff/DataInput.java-2.0.31,0,0,23,0.25,98
org.apache.fontbox.cff.DataOutput,org/apache/fontbox/cff/DataOutput.java-2.0.31,0,0,6,0,98
org.apache.fontbox.cff.FDSelect,org/apache/fontbox/cff/FDSelect.java-2.0.31,1,0,2,0,98
org.apache.fontbox.cff.Type1CharString,org/apache/fontbox/cff/Type1CharString.java-2.0.31,3,0,9,0.867,18
org.apache.fontbox.cff.Type1CharStringParser,org/apache/fontbox/cff/Type1CharStringParser.java-2.0.31,3,0,2,0,40
org.apache.fontbox.cff.Type1FontUtil,org/apache/fontbox/cff/Type1FontUtil.java-2.0.31,0,0,9,0,40
org.apache.fontbox.cff.Type2CharString,org/apache/fontbox/cff/Type2CharString.java-2.0.31,1,1,7,1.125,101
org.apache.fontbox.cff.Type2CharStringParser,org/apache/fontbox/cff/Type2CharStringParser.java-2.0.31,2,0,13,0,7
org.apache.fontbox.cmap.CIDRange,org/apache/fontbox/cmap/CIDRange.java-2.0.31,0,0,10,0,73
org.apache.fontbox.cmap.CMap,org/apache/fontbox/cmap/CMap.java-2.0.31,3,0,26,0.959,104
org.apache.fontbox.cmap.CMapParser,org/apache/fontbox/cmap/CMapParser.java-2.0.31,1,0,24,1,3
org.apache.fontbox.cmap.CodespaceRange,org/apache/fontbox/cmap/CodespaceRange.java-2.0.31,0,0,20,0.7,24
org.apache.fontbox.encoding.BuiltInEncoding,org/apache/fontbox/encoding/BuiltInEncoding.java-2.0.31,0,1,0,0,44
org.apache.fontbox.encoding.Encoding,org/apache/fontbox/encoding/Encoding.java-2.0.31,0,0,0,0,108
org.apache.fontbox.encoding.MacRomanEncoding,org/apache/fontbox/encoding/MacRomanEncoding.java-2.0.31,0,1,2,0,108
org.apache.fontbox.encoding.StandardEncoding,org/apache/fontbox/encoding/StandardEncoding.java-2.0.31,0,1,2,0,123
org.apache.fontbox.pfb.PfbParser,org/apache/fontbox/pfb/PfbParser.java-2.0.31,1,0,25,0.867,76
org.apache.fontbox.ttf.BufferedRandomAccessFile,org/apache/fontbox/ttf/BufferedRandomAccessFile.java-2.0.31,0,0,16,0.25,6
org.apache.fontbox.ttf.CFFTable,org/apache/fontbox/ttf/CFFTable.java-2.0.31,4,1,3,0,6
org.apache.fontbox.ttf.CmapLookup,org/apache/fontbox/ttf/CmapLookup.java-2.0.31,0,1,2,0,6
org.apache.fontbox.ttf.CmapSubtable,org/apache/fontbox/ttf/CmapSubtable.java-2.0.31,3,0,101,0.837,9
org.apache.fontbox.ttf.CmapTable,org/apache/fontbox/ttf/CmapTable.java-2.0.31,3,1,10,1.255,9
org.apache.fontbox.ttf.DigitalSignatureTable,org/apache/fontbox/ttf/DigitalSignatureTable.java-2.0.31,1,1,1,0,26
org.apache.fontbox.ttf.GlyfCompositeComp,org/apache/fontbox/ttf/GlyfCompositeComp.java-2.0.31,1,0,22,0.967,61
org.apache.fontbox.ttf.GlyfCompositeDescript,org/apache/fontbox/ttf/GlyfCompositeDescript.java-2.0.31,6,1,40,0.75,124
org.apache.fontbox.ttf.GlyfDescript,org/apache/fontbox/ttf/GlyfDescript.java-2.0.31,1,0,5,1.167,53
org.apache.fontbox.ttf.GlyfSimpleDescript,org/apache/fontbox/ttf/GlyfSimpleDescript.java-2.0.31,2,1,25,0.792,71
org.apache.fontbox.ttf.GlyphData,org/apache/fontbox/ttf/GlyphData.java-2.0.31,7,0,12,0.843,129
org.apache.fontbox.ttf.GlyphDescription,org/apache/fontbox/ttf/GlyphDescription.java-2.0.31,0,1,8,0,4
org.apache.fontbox.ttf.GlyphRenderer,org/apache/fontbox/ttf/GlyphRenderer.java-2.0.31,3,0,7,0,4
org.apache.fontbox.ttf.GlyphSubstitutionTable,org/apache/fontbox/ttf/GlyphSubstitutionTable.java-2.0.31,3,1,47,0.667,8
org.apache.fontbox.ttf.GlyphTable,org/apache/fontbox/ttf/GlyphTable.java-2.0.31,6,1,24,0.625,8
org.apache.fontbox.ttf.HeaderTable,org/apache/fontbox/ttf/HeaderTable.java-2.0.31,2,1,32,0.945,9
org.apache.fontbox.ttf.HorizontalHeaderTable,org/apache/fontbox/ttf/HorizontalHeaderTable.java-2.0.31,2,1,36,0.941,9
org.apache.fontbox.ttf.HorizontalMetricsTable,org/apache/fontbox/ttf/HorizontalMetricsTable.java-2.0.31,3,1,14,0.375,9
org.apache.fontbox.ttf.IndexToLocationTable,org/apache/fontbox/ttf/IndexToLocationTable.java-2.0.31,3,1,8,0.667,9
org.apache.fontbox.ttf.KerningSubtable,org/apache/fontbox/ttf/KerningSubtable.java-2.0.31,2,0,29,0.885,13
org.apache.fontbox.ttf.KerningTable,org/apache/fontbox/ttf/KerningTable.java-2.0.31,4,1,12,0.5,13
org.apache.fontbox.ttf.MaximumProfileTable,org/apache/fontbox/ttf/MaximumProfileTable.java-2.0.31,2,1,33,0.933,14
org.apache.fontbox.ttf.MemoryTTFDataStream,org/apache/fontbox/ttf/MemoryTTFDataStream.java-2.0.31,0,1,17,0.375,14
org.apache.fontbox.ttf.NameRecord,org/apache/fontbox/ttf/NameRecord.java-2.0.31,2,0,13,1.036,15
org.apache.fontbox.ttf.NamingTable,org/apache/fontbox/ttf/NamingTable.java-2.0.31,4,1,19,0,135
org.apache.fontbox.ttf.OS2WindowsMetricsTable,org/apache/fontbox/ttf/OS2WindowsMetricsTable.java-2.0.31,3,1,74,0.993,64
